question,Intent_Number
What can Career Services do for me?,11
what career services are available at Ga Tech  ,11
What is Career Services?,11
Advisment,12
How can I request a copy of my official transcript,13
How do I request for a transcript from 1992-1993,13
How do I request unofficial transcripts for a ko,13
I would like to have someone from Career services give a presentation to my class,13
When are carol hagan's walk in hours,14
when are the walk in hours,14
When are walk in hours for summer,14
Hello. when is the next technology career fair?,15
When are the dates for your 2018 Spring Career Fair,15
When are the fall career fairs,15
when if your fall 2017 career fair?,15
When is Fall 2018 Career Fair,15
When is fall career fair,15
when is penn medicine  career fair,15
when is the 2018 ece career fair,15
When is the career fair fall 2017 ,15
When is the career fair?,15
When is the career fair?,15
When is the engineering career fair,15
When is the engineering career fair in the fall?,15
When is the Fall 2017 career fair,15
when is the fall 2017 career fair?,15
When is the Fall career fair,15
When is the fall career fair for 2017?,15
when is the fall career fair in 2017?,15
When is the fall career fair?,15
When is the next career fair,15
When is the next career fair?,15
When is the next career fair?,15
When is the student reception during the career fair?,15
when will be hospital of the University of Pennsylvania career fair,15
When will registeration open for the career fair,15
when will the date of the fall career fair be announced,15
Whens the career fair in Fall 2017?,15
are there any career fairs,16
"Can you confirm the reception for the career fair is September 11, 2017",16
career fair 2017,16
career fair costs,16
career fair employeers,16
career fairs,16
Cost of career fairs,16
Do you have a STEM Career Fair?,16
do you have an app for the career fair?,16
Do you have multiple career fairs,16
ece career fair,16
Fall 2017 Career Fair,16
Fall 2017 career fairs,16
Is there a engineering career fair?,16
is there an engineering career fair,16
Register for career fair,16
The career fair is 9/26-9/29,16
What companies are coming to the career fair?,16
What companies are coming to the career fair?,16
What companies are coming to the career fair?,16
what companies came 2016 career fair ,16
what companies come to the engineering career fair,16
Where can i find the career fairs,16
which companies are usually come for career fair in CS,16
Will Tesla visit the Fall 2017 career fair?,16
will there be a main career fair this Fall?,16
What is the timeline for coop programs,17
are business undergrad students eligible for co-ops?,18
Engineering Co-ops,18
 coca-cola,19
 I am a campus interview comeing up March 27. How can I have a practice interview?,19
ABC News,19
acuity brands,19
Acuity Brands hiring,19
adp hiring,19
Advocate,19
Are drop in hours available during spring break?,19
Are you all available during Spring Break?,19
at&t hiring history,19
average salary for blackrock,19
average salary for deloitte,19
Barkbot needs to know about LInkedIN as a tool for looking for a job.,19
blue cross blue shield,19
boston consulting group,19
Brenau university hires,19
can UNC students rent rooms for interviews?,19
Can you give me a job at the Goldman Sachs,19
che...sagay k ask tpos hndi k nmn pla mkatulong sa assignment ko,19
Chick-fil-a hiring history,19
co oping,19
coca-cola,19
Cox Communications hiring history,19
cox enterprises hiring ,19
cox enterprises hiring history,19
cvs health,19
Deloitte,19
deloitte hiring history,19
Delta Air Lines,19
delta air lines hiring history,19
delta air lines hiring histoyr,19
did the home depot hire any uga graduates?,19
direct me to how to apply to fulbright grants,19
Do I have to sign up to attend an event or do I just show up when it says the meeting begins?,19
Do you have courses for family and consumer science ,19
Does Deloitte hire at UGA?,19
does EY hire Wharton graduates?,19
Does the University of Pennsylvania offer any coop programs for chemical engineering?,19
Does UNC Chapel Hill Medical school consider Agriculture and life science as pre-med,19
DOes UNC Chapel Hill offer Pre Law?,19
Does UNC have pre-med,19
duke basketball,19
"Engineering,University of Pennsylvania",19
exxon,19
ey hiring history,19
finance targeted resume,19
Geico job posting,19
General Electric,19
Georgia-Pacific,19
get-summary-employer-stats 22squared,19
get-summary-employer-stats ABC News,19
get-summary-employer-stats Accel Partners,19
get-summary-employer-stats Accenture,19
get-summary-employer-stats Accenture Interactive,19
get-summary-employer-stats Amazon,19
get-summary-employer-stats Bain Capital,19
get-summary-employer-stats Barneys New York,19
"get-summary-employer-stats Baumann, Landau & Simon",19
get-summary-employer-stats Bendele & Mendel PLLC,19
get-summary-employer-stats Booz Allen Hamilton,19
get-summary-employer-stats Boston Consulting Group,19
get-summary-employer-stats Bounce Exchange,19
get-summary-employer-stats CareerBuilder.com,19
get-summary-employer-stats CBS Sports Network,19
get-summary-employer-stats CipherHealth,19
get-summary-employer-stats Citigroup,19
get-summary-employer-stats Coca-Cola,19
get-summary-employer-stats Comcast/NBCUniversal,19
get-summary-employer-stats Dancing With the Stars,19
get-summary-employer-stats Deloitte,19
get-summary-employer-stats Deloitte,19
get-summary-employer-stats Delta Air Lines,19
get-summary-employer-stats Dovel & Luner LLP,19
get-summary-employer-stats Edelman Berland,19
get-summary-employer-stats Ernst & Young,19
get-summary-employer-stats Ernst & Young,19
get-summary-employer-stats ESPN,19
get-summary-employer-stats EY,19
get-summary-employer-stats Facebook,19
get-summary-employer-stats FisherZucker LLC,19
get-summary-employer-stats General Mills,19
get-summary-employer-stats Georgia-Pacific LLC,19
get-summary-employer-stats Google,19
get-summary-employer-stats Google,19
get-summary-employer-stats IBM,19
get-summary-employer-stats Issey Miyake USA,19
get-summary-employer-stats Johnson & Johnson,19
get-summary-employer-stats Kirkland & Ellis LLP,19
get-summary-employer-stats Kobre & Kim LLP,19
get-summary-employer-stats KPMG,19
get-summary-employer-stats Ladov Law P.C.,19
get-summary-employer-stats LinkedIn,19
get-summary-employer-stats Lippincott,19
get-summary-employer-stats M&T Bank,19
get-summary-employer-stats Macy's Inc.,19
get-summary-employer-stats McKinsey & Company,19
get-summary-employer-stats Mercer,19
get-summary-employer-stats Microsoft,19
get-summary-employer-stats Middle Tennessee State University,19
get-summary-employer-stats National Football League,19
get-summary-employer-stats New York Times,19
get-summary-employer-stats Nike Inc.,19
get-summary-employer-stats Oliver Wyman,19
"get-summary-employer-stats Paul, Weiss, Rifkind, Wharton & Garrison LLP",19
get-summary-employer-stats PepsiCo,19
get-summary-employer-stats PepsiCo,19
get-summary-employer-stats PricewaterhouseCoopers,19
get-summary-employer-stats Procter & Gamble,19
"get-summary-employer-stats Seeger Weiss, LLP",19
get-summary-employer-stats Sports Illustrated,19
get-summary-employer-stats Swift Capital,19
get-summary-employer-stats Teach For America,19
get-summary-employer-stats The Atlantic,19
get-summary-employer-stats The Coca-Cola Company,19
get-summary-employer-stats The Home Depot,19
get-summary-employer-stats The University of North Georgia,19
get-summary-employer-stats The Walt Disney World Resort,19
get-summary-employer-stats Time Inc.,19
get-summary-employer-stats University of Calgary,19
get-summary-employer-stats US Department of Defense,19
get-summary-employer-stats US Department of Justice,19
get-summary-employer-stats Viacom,19
"get-summary-employer-stats Wachtell, Lipton, Rosen & Katz",19
get-summary-employer-stats Yelp Inc.,19
Going global requires me to have a UNC Chapel Hill ID and password. What can I do?,19
graphic design job,19
Help me find clinical experience,19
"Hi, I am a Penn alumnae doing a Fulbright grant abroad. I would like to connect with other Penn Alumni in Malaysia or SEA region. ",19
"Hi, I am a student from Virginia Tech and I am interested in attending UNC's Education Job Fair on March 8th. I was looking for information on whether this job fair is open to students from other universities, or if there is a registration process for students who wish to attend?",19
"Hi, I was told that there would be a Citi event tonight, I just wanted to make sure it was still going on. ",19
Home depot ,19
Home depot hired,19
How about Penn hire someone to take calls and help rather than some bot that makes this experience a frustrating ass fuck,19
how can i get into UNC,19
how can i recieve emails and brochures from university of georgia,19
How can I use LinkedIn for a job search,19
How can I use snapchat?,19
How can LinkedIN help me find a job?,19
how do i appl,19
How do I apply to UNC,19
How do i sign up?,19
how do i use linkedin,19
How do I use LinkedIn?,19
how many computer science majors work for amazon?,19
How many computer science majors work for Apple?,19
how many did KPMG hire?,19
how many ecology majors does deloitte hire,19
How many Franklin College of Arts and Sciences students were employed by The Home Depot?,19
how many graduates has UPS hired,19
how many graduates reported being hired by Cox Enterprises,19
how many people did deloitte hire,19
how many people did home depot hire last year and what were their majors,19
how many student did home depot hire,19
how many students are working for PwC?,19
How many students did CNN hire?,19
How many students did Deloitte hire,19
How many students did Deloitte hire?,19
How many students did Deloitte hired?,19
How many students did Delta Air Lines hire,19
How many students did Delta Air Lines hire For class of 2016,19
How many students did Delta Air Lines hire?,19
How many students did Home Depot hire?,19
How many students did pwc hire,19
how many students did the home depot hire,19
How many students did The Home Depot hire?,19
how many students does unc have?,19
How many students has Geico hired?,19
how many uga graduates went to mercer medical school?,19
how many unc graduates have jobs when they graduate,19
how many unc graduates work in north carolina,19
how many unc graduates work in the state of north carolina,19
How many Upenn students did Deliotte hire last year,19
How much does housing cost at UNC?,19
how should i put linkedin profile in resume,19
how to set up intern ,19
howdo you know it s not my furst time to career servuce?,19
Human Resources e-mail for the Hospital at the University of Pennsylvania,19
Hw many student were hired by Blackrock?,19
I  am a Recruiter with Marsh and McLennan and would like to post one of our jobs to your career site hoping to snag one of your 2017 May grads,19
I am a veteran.  How should i put my military experience on my resume?,19
I am an employer looking to set up an information table on campus with the school of nursing.,19
"I am an M&T student, intersection of business and technology",19
I am future student of UNC . Please let me know the company names which are usually come in career fair in cs,19
I am looking for a program to get into before going to become a Dentist. Does University of Pennsylvania have a Pre-Dentistry program?,19
I am looking for a way to gain internship experience in an hedge fund company,19
I am post-doc from Children's Hospital of Philadelphia,19
I am tried to get a job in the field of research in University of Pennsylvania but I did not get any job can you help me rearding that? ,19
i have done phd in biochemistry from india. now i m in philly on dependent visa. can i apply as a post doctoral fello,19
I need to find the doodle document where I signed up for my mock interview. I need to see when I scheduled ,19
"I wanna set up an appointment, how do I?",19
i want a resume with out work experience,19
I want to apply for a part time job at UNC,19
I want to apply to moleis & co,19
I want to do my undergraduate school at UNC Chapel hill. Can you direct me to the Pre-med plan of study?,19
"I want to sign up for \Your Major Workshop\"" for June 14th """,19
I want to work at Goldman Sachs,19
I want to work at the Goldman Sachs,19
i want to work for the university of georgia ,19
I want to work for Thomson Reuters,19
I want you to write it for me. Make it up if you have to,19
"I was interviewed for about 4 occasions and learned that among the 81 applicants I am the 1st contacted and the rest was never been interviewed.. To the last date they asked me my salary expectations on which I provided my range and openly said, I am open for negotiations. Its almost more than a week that I never receive any reply or an advise if they either interested to hire me or further to negotiate if what Im asking is beyond from what they can offer.Do I have to call them for follow up or just wait. Do you think they lost the interest to hire me for seeking a salary beyond their organizational range?",19
I was trying to see if there was a way I could get a UNC information packed mailed to me.,19
I was wondering if there is an eportfolio seminar coming up.,19
I was wondering if UNC offers pre-med as a major or just as program or path. ,19
I was wondering when the University of Pennsylvania Student Nurse Extern application status will be available,19
I would like to apply to a job that's asking me for a writing sample. It does not specify what kind of writing and I'm unsure of what I should write about or what I can submit.,19
I would like to know the policy for not showing up to an on-campus interview.,19
I would like to sign up for newsletter,19
I'd like to schedule my interview with Macy's ,19
I'd like to set up an appointment with Risa Brinkley,19
I'm a student at Liberty University and want to do an internship at UNC Chapel Hill hospital for credit before I graduate. I was wondering where I would find a list of the available internships. ,19
I'm a UNC alumni. How can I register for the virtual PhD & Master's Virtual Career Fair?,19
I'm looking for where I can find a sample email to someone who works at a company I'm interested in that I've found through Linkedin/QuakerNet,19
I'm trying to find a summer job in the medical field at UNC,19
I'm trying to find the process for applying to the pre med program at the UNC,19
"I'm trying to submit an availability form to get the GSk Science in the Summer internship for students, but I don't know where to submit it. Can you help me?",19
IBM,19
ibm hiring,19
ibm hiring history,19
independence of catalonia,19
insight global,19
"Is it ok to have two versions of my resume, each highlighting different work/school experiences I've had.",19
is there a vet school at UNC,19
"it says on this website that UNC partners with the Pennsylvania College of Optometry, but on that University's website, it does not say that they partner with UNC for the 3+4 Program",19
jackson healthcare,19
"Just a heads up, the \Offstagejobs.com\"" link on the performing arts career fields directs to the wrong webpage""",19
kpmg,19
kroger hiring,19
Kroger hiring history,19
linkedin,19
LinkedIn,19
LinkedIn assistance?,19
linkedin email,19
LInkedin Profile,19
list-departments-for-employer Deloitte,19
list-howgetjob-for-employer Deloitte,19
looking for information on fulbright grants,19
looking for information regarding GSK Science in the Summer application process,19
macy's,19
Macy's Inc.,19
majors hired by adp,19
My LinkedIn account was hacked ,19
My name is Clark Buchman I took a leave of absence spring 2017 to fall 2017 but I would like to work on campus how can I do that,19
NCState has a vet school so i will just go there instead of UNC,19
Pls I'm desperate ,19
"Preparing my son's 2016 tax return. He has provided me with \Payroll Advice(s) from UGA for work he did as a student. Is a W-2 available?""",19
protiviti,19
rank the majors hired by deloitte,19
s,19
Set up appointment to learn about interviews,19
shut up,19
spring 2016 career fair,19
spring break drop in hours,19
start up compensatio package,19
suntrust banks hiring history,19
synovus,19
synovus hiring,19
synovus hiring history,19
synovus history,19
technology support specialist,19
The contact names on the website are set up to go to microsoft outlook so I cannot access the contact email address,19
The Home Depot,19
Trying to find where to apply for Graphic design job number 20170436,19
unc have architect career ,19
University of Georgia,19
ups hired,19
UPS hires in 2016,19
ups hiring history,19
urrently work at unc hospital,19
walmart hiring history,19
We are Discount Tire Co.  I am looking for part time help.  All we do are tires so you need no knowledge of the business.,19
wells fargo hiring history,19
What can I do in LinkedIN?,19
What is LinkedIn,19
What is LinkedIn?,19
what is the average starting salary at blackrock,19
What is the best way to use LinkedIn,19
what is the starting salary at blackrock?,19
what is the UNC job placement rate,19
What majors Deloitte hired last year?,19
What majors did home depot hire,19
what majors did macy's hire,19
What majors did UNC accepted?,19
What majors has Home Depot hired,19
What majors have been hired by the home depot?,19
What majors were the graduates Deloitte hired?,19
what positions does deloitte hire,19
what scores do i need to get into harvard medical school,19
What should I put on a LinkedIn account,19
What up home dawg?,19
What's up,19
when can i get a free linkedin headsho,19
When is Goldman Sachs on campus,19
when is spring break?,19
Where can I find the UGA LinkedIn portal?,19
where do i go to sign up to review my resume,19
where is unc?,19
"who did Delta Air Lines, Inc. hired? ",19
Who does Michael Deangelis serve,19
who is working for home depot,19
WHY IS DUKE BETTER?,19
Why is the university of pennsylvania a good school,19
Why should i chose the university of pennsylvania,19
work experience,19
Would a summer immersive program at a school of technology be considered a fee based program ineligible for funding?,19
ya but i cant sign in aiesec,19
list-departments-for-employer Accenture,20
list-departments-for-employer Amazon,20
list-departments-for-employer BlackRock,20
list-departments-for-employer Co,20
list-departments-for-employer Comcast/NBCUniversal,20
list-departments-for-employer Duke,20
list-departments-for-employer Ernst & Young,20
list-departments-for-employer Experis,20
list-departments-for-employer Facebook,20
list-departments-for-employer GSK,20
list-departments-for-employer Macy's,20
list-departments-for-employer Macy's Inc.,20
list-departments-for-employer Swift Capital,20
list-departments-for-employer Time Inc.,20
list-departments-for-employer UNC Chapel Hill,20
What departments did blackrock hire for?,20
list-howgetjob-for-employer BlackRock,21
list-howgetjob-for-employer Boston Consulting Group,21
list-howgetjob-for-employer CipherHealth,21
list-howgetjob-for-employer Comcast/NBCUniversal,21
list-howgetjob-for-employer Dancing With the Stars,21
list-howgetjob-for-employer Deloitte,21
list-howgetjob-for-employer Experis,21
list-howgetjob-for-employer Fulbright,21
list-howgetjob-for-employer Goldman Sachs,21
list-howgetjob-for-employer Graphic Design,21
list-howgetjob-for-employer IBM,21
list-howgetjob-for-employer LinkedIn,21
list-howgetjob-for-employer Macy's Inc.,21
list-howgetjob-for-employer New York Times,21
list-howgetjob-for-employer Oliver Wyman,21
list-howgetjob-for-employer Swift Capital,21
Are there any career fairs coming up?,22
Does the career center offer a service where you can take a professional linkedin profile picture?,22
"I scheduled an interview with the Career Services, however a schedule conflict has come up and I can no longer make that time. How do I cancel a scheduled interview?",22
Is Career Services open during Spring break?,22
is the Diversity Career Fair open to  non UNC students,22
Jobs at choa,22
Jobs at Deloitte,22
jobs at linkedin,22
list-job-titles-for-employer 22squared,22
list-job-titles-for-employer Accenture,22
list-job-titles-for-employer Acuity Brands,22
list-job-titles-for-employer Advocate,22
list-job-titles-for-employer Amazon,22
list-job-titles-for-employer Amazon,22
list-job-titles-for-employer Apple,22
list-job-titles-for-employer Barneys New York,22
list-job-titles-for-employer BlackRock,22
list-job-titles-for-employer Booz Allen Hamilton,22
list-job-titles-for-employer Boston Consulting Group,22
list-job-titles-for-employer Bounce Exchange,22
list-job-titles-for-employer Coca-Cola,22
list-job-titles-for-employer Comcast/NBCUniversal,22
list-job-titles-for-employer Cox Enterprises,22
list-job-titles-for-employer CVS Health,22
list-job-titles-for-employer Deloitte,22
list-job-titles-for-employer Deloitte,22
list-job-titles-for-employer Delta Air Lines,22
list-job-titles-for-employer Edelman Berland,22
list-job-titles-for-employer Ernst & Young,22
list-job-titles-for-employer Ernst & Young,22
list-job-titles-for-employer ESPN,22
list-job-titles-for-employer EY,22
list-job-titles-for-employer Facebook,22
list-job-titles-for-employer Family,22
list-job-titles-for-employer FisherZucker LLC,22
list-job-titles-for-employer Fulbright,22
list-job-titles-for-employer Geico,22
list-job-titles-for-employer General Electric,22
list-job-titles-for-employer Goldman Sachs,22
list-job-titles-for-employer Google,22
list-job-titles-for-employer Graphic Design,22
list-job-titles-for-employer Home Depot,22
list-job-titles-for-employer IBM,22
list-job-titles-for-employer IBM,22
list-job-titles-for-employer Issey Miyake USA,22
list-job-titles-for-employer Johnson & Johnson,22
list-job-titles-for-employer KPMG,22
list-job-titles-for-employer KPMG,22
list-job-titles-for-employer Kroger,22
list-job-titles-for-employer Ladov Law P.C.,22
list-job-titles-for-employer LinkedIn,22
list-job-titles-for-employer LinkedIn,22
list-job-titles-for-employer Lippincott,22
list-job-titles-for-employer M&T Bank,22
list-job-titles-for-employer Macy's Inc.,22
list-job-titles-for-employer McKinsey & Company,22
list-job-titles-for-employer Nike Inc.,22
list-job-titles-for-employer Oliver Wyman,22
list-job-titles-for-employer PepsiCo,22
list-job-titles-for-employer PepsiCo,22
list-job-titles-for-employer Procter & Gamble,22
list-job-titles-for-employer PWC,22
list-job-titles-for-employer Synovus,22
list-job-titles-for-employer The Atlantic,22
list-job-titles-for-employer The Coca-Cola Company,22
list-job-titles-for-employer The Home Depot,22
list-job-titles-for-employer Time Inc.,22
list-job-titles-for-employer University of Georgia,22
list-job-titles-for-employer UPS,22
list-job-titles-for-employer Viacom,22
list-job-titles-for-employer Yelp Inc.,22
position titles hired by ups,22
What are the Career Services hours for Spring Break?,22
what jobs did bank of america hire for,22
What jobs did blackrock hire for,22
What jobs did BlackRock hire for?,22
What jobs did Deloitte for?,22
what jobs did Deloitte hire,22
what jobs did deloitte hire for,22
What jobs did Deloitte hire for last year?,22
What jobs did Deloitte hire for?,22
What jobs did deloitte hire for?,22
What jobs did Deloitte hire for/,22
What jobs did deloitte hire fore?,22
What jobs did Deloitte hirefor?,22
What jobs did Deloitte?,22
What jobs did hire Deloitte for?,22
what jobs did students get at blackrock,22
what jobs do deloitte hire for,22
What jobs does deloitte recruit,22
What jobs is Deloitte,22
what kinds of jobs did students get at blackrock,22
what position did duke hired for,22
What positions did Deloitte hired for?,22
What positions did Home Depot hired for,22
what type of IT jobs are UNC students getting,22
what's the hours of career service in spring break?,22
list-locations-for-employer 22squared,23
list-locations-for-employer Acuity Brands,23
list-locations-for-employer AIESEC,23
list-locations-for-employer Amazon,23
list-locations-for-employer BlackRock,23
list-locations-for-employer Booz Allen Hamilton,23
list-locations-for-employer Coca-Cola,23
list-locations-for-employer Comcast/NBCUniversal,23
list-locations-for-employer Cox Enterprises,23
list-locations-for-employer CVS Health,23
list-locations-for-employer Deloitte,23
list-locations-for-employer Facebook,23
list-locations-for-employer Fulbright,23
list-locations-for-employer Geico,23
list-locations-for-employer Goldman Sachs,23
list-locations-for-employer Home Depot,23
list-locations-for-employer IBM,23
list-locations-for-employer KPMG,23
list-locations-for-employer LinkedIn,23
list-locations-for-employer Macy's Inc.,23
list-locations-for-employer McKinsey & Company,23
list-locations-for-employer Nike Inc.,23
list-locations-for-employer PepsiCo,23
list-locations-for-employer The Atlantic,23
list-locations-for-employer The Home Depot,23
list-locations-for-employer Time Inc.,23
list-locations-for-employer UNC,23
list-locations-for-employer Viacom,23
does ibm hire psychology students,24
list-majors-for-employer 22squared,24
list-majors-for-employer ABC News,24
list-majors-for-employer Accenture,24
list-majors-for-employer Acuity Brands,24
list-majors-for-employer Amazon,24
"list-majors-for-employer Baumann, Landau & Simon",24
list-majors-for-employer Bendele & Mendel PLLC,24
list-majors-for-employer BlackRock,24
list-majors-for-employer Booz Allen Hamilton,24
list-majors-for-employer Boston Consulting Group,24
list-majors-for-employer Bounce Exchange,24
list-majors-for-employer Brenau University,24
list-majors-for-employer Coca-Cola,24
list-majors-for-employer Comcast/NBCUniversal,24
list-majors-for-employer Cox Enterprises,24
list-majors-for-employer CVS Health,24
list-majors-for-employer Dancing With the Stars,24
list-majors-for-employer Deloitte,24
list-majors-for-employer Deloitte,24
list-majors-for-employer Deloitte,24
list-majors-for-employer Delta Air Lines,24
list-majors-for-employer Dovel & Luner LLP,24
list-majors-for-employer Duke,24
list-majors-for-employer Ernst & Young,24
list-majors-for-employer EY,24
list-majors-for-employer Facebook,24
list-majors-for-employer FisherZucker LLC,24
list-majors-for-employer Fulbright,24
list-majors-for-employer Geico,24
list-majors-for-employer Goldman Sachs,24
list-majors-for-employer Google,24
list-majors-for-employer Home Depot,24
list-majors-for-employer IBM,24
list-majors-for-employer IBM,24
list-majors-for-employer Kirkland & Ellis LLP,24
list-majors-for-employer Kobre & Kim LLP,24
list-majors-for-employer KPMG,24
list-majors-for-employer Kroger,24
list-majors-for-employer Ladov Law P.C.,24
list-majors-for-employer LinkedIn,24
list-majors-for-employer LinkedIn,24
list-majors-for-employer M&T Bank,24
list-majors-for-employer Macy's,24
list-majors-for-employer Macy's Inc.,24
list-majors-for-employer McKinsey & Company,24
list-majors-for-employer Mercer,24
list-majors-for-employer New York Times,24
list-majors-for-employer Nike Inc.,24
list-majors-for-employer Oliver Wyman,24
"list-majors-for-employer Paul, Weiss, Rifkind, Wharton & Garrison LLP",24
list-majors-for-employer PricewaterhouseCoopers,24
list-majors-for-employer Procter & Gamble,24
list-majors-for-employer Protiviti,24
"list-majors-for-employer Seeger Weiss, LLP",24
list-majors-for-employer Synovus,24
list-majors-for-employer Teach For America,24
list-majors-for-employer The Atlantic,24
list-majors-for-employer The Coca-Cola Company,24
list-majors-for-employer The Home Depot,24
list-majors-for-employer Time Inc.,24
list-majors-for-employer UNC Chapel Hill,24
list-majors-for-employer UPS,24
list-majors-for-employer US Department of Defense,24
list-majors-for-employer US Department of Justice,24
list-majors-for-employer Viacom,24
get-average-salary-for-employer ABC News,25
get-average-salary-for-employer Amazon,25
get-average-salary-for-employer BlackRock,25
get-average-salary-for-employer Booz Allen Hamilton,25
get-average-salary-for-employer Boston Consulting Group,25
get-average-salary-for-employer Citigroup,25
get-average-salary-for-employer Comcast/NBCUniversal,25
get-average-salary-for-employer Deloitte,25
get-average-salary-for-employer Deloitte,25
get-average-salary-for-employer Ernst & Young,25
get-average-salary-for-employer Facebook,25
get-average-salary-for-employer Fulbright,25
get-average-salary-for-employer General Mills,25
get-average-salary-for-employer Goldman Sachs,25
get-average-salary-for-employer Google,25
get-average-salary-for-employer IBM,25
get-average-salary-for-employer KPMG,25
get-average-salary-for-employer LinkedIn,25
get-average-salary-for-employer M&T Bank,25
get-average-salary-for-employer Macy's Inc.,25
get-average-salary-for-employer McKinsey & Company,25
get-average-salary-for-employer Mercer,25
get-average-salary-for-employer Oliver Wyman,25
get-average-salary-for-employer PricewaterhouseCoopers,25
get-average-salary-for-employer Procter & Gamble,25
get-average-salary-for-employer Sports Illustrated,25
get-average-salary-for-employer Teach For America,25
get-average-salary-for-employer The University of Pennsylvania,25
get-average-salary-for-employer Thomson Reuters,25
get-average-salary-for-employer Time Inc.,25
get-average-salary-for-employer UNC Chapel Hill,25
get-average-salary-for-employer Viacom,25
what was the highest salary at 22squared,26
get-job-title-stats-for Communication Intern,27
